epoch,mse
1,0.5865455071131388
2,0.3250461518764496
3,0.21042844653129578
4,0.15162781377633414
5,0.11816688627004623
6,0.09436463316281636
7,0.07697304834922154
8,0.0644167351226012
9,0.05578308179974556
10,0.04976473500331243
11,0.04525331283609072
12,0.041668312003215156
13,0.03895338376363119
14,0.036751534789800644
15,0.035245987276236214
16,0.03374995415409406
17,0.032385701313614845
18,0.030726852516333263
19,0.029009763151407242
20,0.026773912832140923
21,0.023639929791291554
22,0.020774031057953835
23,0.01801018789410591
24,0.016044830592970055
25,0.013682102474073568
26,0.01214651515086492
27,0.011648805812001228
28,0.011190950870513916
29,0.009917524953683218
30,0.009694216772913933
31,0.00890690895418326
32,0.008366845858593782
33,0.008378673655291399
34,0.00790343526750803
35,0.007693576005597909
36,0.007572418234000604
37,0.007306851912289858
38,0.007000734253476064
39,0.0068781257917483645
40,0.0065283266206582384
41,0.006177360347161691
42,0.006366188637912273
43,0.006062743409226338
44,0.005772195290774107
45,0.005726268670211236
46,0.005607616311560075
47,0.005388717632740736
48,0.005335563328117132
49,0.005153950148572524
50,0.005087861015150945
